nsecode,per_chg,close,volume
MAXHEALTH,1.74,885.15,785855
TATACONSUM,1.73,1187.75,831846
KARURVYSYA,1.72,216.99,1063652
TATACOMM,1.7,1864.6,146375
SMCGLOBAL,1.7,145.94,602204
CARBORUNIV,1.69,1577.8,139700
KOTAKBANK,1.68,1777.3,2961871
CAPLIPOINT,1.67,1585.5,70156
MARICO,1.66,661.05,1290553
GARFIBRES,1.63,3703.25,8251
SUDARSCHEM,1.61,983.75,176960
INDIGO,1.61,4277.7,727461
CHEVIOT,1.6,1437.45,11083
HDFCBANK,1.51,1632.1,13924623
FIEMIND,1.48,1320.8,140205
JAIBALAJI,1.48,916.4,38664
APARINDS,1.45,8426.1,43500
GHCL,1.43,631.9,276477
IGL,1.36,545.85,764059
TRIL,1.35,687.65,60935
HUDCO,1.32,291.8,7591926
GILLETTE,1.28,7856.1,16014
HIKAL,1.27,319.8,111598
ROSSELLIND,1.26,577.85,28394
ADANIGREEN,1.26,1831.0,883836
BRITANNIA,1.25,5729.65,144969
NLCINDIA,1.24,261.7,1926810
PGHH,1.22,16984.15,7240
YESBANK,1.17,24.27,97158685
SBIN,1.13,812.1,11427335
WINDMACHIN,1.12,172.02,158627
WHIRLPOOL,1.07,2096.95,125959
MANYAVAR,1.02,1121.5,66194
ZFCVINDIA,0.93,15694.1,8268
PAGEIND,0.79,40947.5,5230
CHEMBOND,0.76,608.7,11216
CIGNITITEC,0.74,1363.6,91124
CHOICEIN,0.69,392.8,527992
LT,0.65,3568.35,2808865
HEIDELBERG,0.65,219.93,202832
NSIL,0.63,4280.45,5468
SUNDARMHLD,0.32,282.85,46702
