nsecode,per_chg,close,volume
MAXHEALTH,1.74,885.15,785988
TATACONSUM,1.73,1187.75,831974
KARURVYSYA,1.72,216.99,1063869
TATACOMM,1.7,1864.6,146420
SMCGLOBAL,1.7,145.94,602389
CARBORUNIV,1.69,1577.8,139700
KOTAKBANK,1.68,1777.3,2961871
CAPLIPOINT,1.67,1585.5,70156
MARICO,1.66,661.05,1290553
INDIGO,1.61,4277.7,727461
SUDARSCHEM,1.61,983.75,176996
CHEVIOT,1.6,1437.45,11083
WENDT,1.56,14870.0,680
HDFCBANK,1.51,1632.1,13924623
SESHAPAPER,1.5,338.5,35746
APARINDS,1.45,8426.1,43500
GHCL,1.43,631.9,276603
KRITIKA,1.37,19.23,222095
IGL,1.36,545.85,765034
HUDCO,1.32,291.8,7600402
SEAMECLTD,1.31,1500.0,245935
GILLETTE,1.28,7856.1,16014
HIKAL,1.27,319.8,111748
ADANIGREEN,1.26,1831.0,883836
ROSSELLIND,1.26,577.85,28399
BRITANNIA,1.25,5729.65,144969
MANYAVAR,1.25,1124.0,66194
NLCINDIA,1.24,261.7,1926853
YESBANK,1.17,24.27,97174941
PAGEIND,1.15,41095.0,5230
SBIN,1.13,812.1,11427335
WINDMACHIN,1.12,172.02,158628
CHEMBOND,1.05,610.45,11216
GARFIBRES,0.89,3676.0,8253
CIGNITITEC,0.85,1365.0,91124
CHOICEIN,0.69,392.8,527992
LT,0.65,3568.35,2808865
HEIDELBERG,0.65,219.93,202832
TEAMLEASE,0.64,3100.0,12200
WHIRLPOOL,0.36,2082.2,125959
