nsecode,per_chg,close,volume
VINNY,20.0,4.92,8243324
JINDALPOLY,18.71,889.5,1463862
PASUPTAC,17.77,49.7,13729270
SUPRAJIT,15.09,620.5,8410358
KITEX,13.14,323.82,13772058
CREST,12.98,456.65,1249512
KRITINUT,11.21,158.78,2325658
POLYPLEX,9.27,1294.2,2675286
TOUCHWOOD,8.45,182.62,445628
THEMISMED,7.83,263.7,1385485
RHIM,5.98,627.35,9540481
SUMIT,4.99,112.38,886667
IT,3.04,43.68,2495194
EMIL,2.85,236.73,42770244
TECH,1.84,43.64,886526
GATECH,-5.04,1.32,35324143
