nsecode,per_chg,close,volume
JISLJALEQS,11.42,74.27,36203048
PGIL,6.5,1044.85,375555
GOCLCORP,5.83,478.05,517881
TRIL,4.99,745.3,268740
ADFFOODS,4.58,239.46,679950
RAINBOW,1.9,1235.6,201263
MMFL,1.34,606.85,88494
